EPAFacilityID,ContaminantName,RegistryNumber
AK6210022426,Trichloroethene,79-01-6
AK6210022426,Trichlorofluoromethane,75-69-4
AK6210022426,Vinyl chloride,75-01-4
AK6210022426,"1,4-Dichlorobenzene",106-46-7
AK6210022426,Benzoic acid,65-85-0
AK6210022426,Naled,300-76-5
AK6210022426,"2,3,7,8-Tetrachlorodibenzo-p-dioxin",1746-01-6
AK6210022426,Dibenzofuran,132-64-9
AK6210022426,Mercury,7439-97-6
AK6210022426,Diethyl phthalate,84-66-2
AK6210022426,Fluorene,86-73-7
AK6210022426,Phenanthrene,85-01-8
AK6210022426,Diazinon,333-41-5
AK6210022426,Disulfoton,298-04-4
AK6210022426,Ronnell,299-84-3
AK6210022426,"1,2-Dichlorobenzene",95-50-1
AK6210022426,"1,2-Dichloroethane",107-06-2
AK6210022426,"1,3-Dichlorobenzene",541-73-1
AK6210022426,Chlorobenzene,108-90-7
AK6210022426,Chloroform,67-66-3
AK6210022426,Dichlorodifluoromethane,75-71-8
AK6210022426,Methyl ethyl ketone,78-93-3
AK6210022426,Methylene chloride,75-09-2
AK6210022426,PCE,127-18-4
AK6210022426,Styrene,100-42-5
AK6210022426,"trans-1,2-Dichloroethene",156-60-5
AK6210022426,Xylene (mixed isomers),1330-20-7
AK6210022426,"cis-1,2-Dichloroethene",156-59-2
AK6210022426,Aluminum (fume or dust),7429-90-5
AK6210022426,Iron,7439-89-6
AK6210022426,"4,4-DDT",50-29-3
AK6210022426,Aldrin,309-00-2
AK6210022426,Dieldrin,60-57-1
AK6210022426,Endrin,72-20-8
AK6210022426,gamma-BHC,58-89-9
AK6210022426,"1,1,2-Trichloroethane",79-00-5
AK6210022426,"1,3-Dichloropropene",542-75-6
AK6210022426,2-Butanone,78-93-3
AK6210022426,4-Methyl-2-pentanone,108-10-1
AK6210022426,Isopropyl benzene,98-82-8
AK6210022426,Antimony,7440-36-0
AK6210022426,Bis(2-ethylhexyl)phthalate,117-81-7
AK6210022426,Heptachlor,76-44-8
AK6210022426,"4,4-DDE",72-55-9
AK6210022426,Heptachlor epoxide,1024-57-3
AK6210022426,Trichloroethane,TBD-00000010
AK6210022426,"1,1,2,2-Tetrachloroethane",79-34-5
AK6210022426,Bromodichloromethane,75-27-4
AK6210022426,Trichloroethylene,79-01-6
AK6210022426,"cis-1,2-Dichloroethylene",156-59-2
AK6210022426,"1,2-Dibromoethane",106-93-4
AK6210022426,"Petroleum hydrocarbons, unknown variety",8012-95-1
AK6210022426,Lead compounds,N420
AK6210022426,"1,2,3-Trichlorobenzene",87-61-6
AK6210022426,"1,2,4-Trichlorobenzene",120-82-1
AK6210022426,Hexachlorobutadiene,87-68-3
AK6210022426,Nickel,7440-02-0
AK6210022426,"4,4-DDD",72-54-8
AK6210022426,Beryllium,7440-41-7
AK6210022426,"4,4-Dichlorodiphenyldichloroethane",72-54-8
AK6210022426,Endosulfan I,959-98-8
AK6210022426,Endosulfan II,33213-65-9
AK6210022426,Thallium,7440-28-0
AK6210022426,Acenaphthene,83-32-9
AK6210022426,Anthracene,120-12-7
AK6210022426,Benzo(b)fluoranthene,205-99-2
AK6210022426,"Benzo(g,h,i)perylene",191-24-2
AK6210022426,Benzo(k)fluoranthene,207-08-9
AK6210022426,Benzo[a]anthracene,56-55-3
AK6210022426,Benzo[a]pyrene,50-32-8
AK6210022426,Butyl benzyl phthalate,85-68-7
AK6210022426,Chrysene,218-01-9
AK6210022426,Dibutyl phthalate,84-74-2
AK6210022426,"Dibenzo(a,h)Anthracene",53-70-3
AK6210022426,Fluoranthene,206-44-0
AK6210022426,"Indeno(1,2,3-cd)pyrene",193-39-5
AK6210022426,Pyrene,129-00-0
AK6210022426,Aroclor-1254,11097-69-1
AK6210022426,Aroclor-1260,11096-82-5
AK6210022426,DDT,50-29-3
AK6210022426,beta-BHC,319-85-7
AK6210022426,DDD,72-54-8
AK6210022426,DDE,72-55-9
AK6210022426,Endrin aldehyde,7421-93-4
AK6210022426,Endrin ketone,53494-70-5
AK6210022426,Methoxychlor,72-43-5
AK6210022426,Kerosene,8008-20-6
AK6214522157,Arsenic,7440-38-2
AK6214522157,Benzene,71-43-2
AK6214522157,Aluminum (fume or dust),7429-90-5
AK6214522157,Antimony,7440-36-0
AK6214522157,Barium,7440-39-3
AK6214522157,Cadmium,7440-43-9
AK6214522157,Chromium,7440-47-3
AK6214522157,Iron,7439-89-6
AK6214522157,Lead,7439-92-1
AK6214522157,Manganese,7439-96-5
AK6214522157,Nickel,7440-02-0
AK6214522157,Selenium,7782-49-2
AK6214522157,"Vanadium, metal and/or alloy",E17133026
AK6214522157,Benzo(b)fluoranthene,205-99-2
AK6214522157,Benzo[a]pyrene,50-32-8
AK6214522157,"Dibenzo(a,h)Anthracene",53-70-3
AK6214522157,"Indeno(1,2,3-cd)pyrene",193-39-5
AK6214522157,Bromodichloromethane,75-27-4
AK6214522157,Carbon tetrachloride,56-23-5
AK6214522157,Chloroform,67-66-3
AK6214522157,Chloromethane,74-87-3
AK6214522157,Methylene chloride,75-09-2
AK6214522157,Tetrachloroethylene,127-18-4
AK6214522157,Trichloroethylene,79-01-6
AK6214522157,"1,1,2,2-Tetrachloroethane",79-34-5
AK6214522157,"1,1,2-Trichloroethane",79-00-5
AK6214522157,"1,1-Dichloroethene",75-35-4
AK6214522157,"1,2-cis-Dichloroethene",156-59-2
AK6214522157,"1,2-trans-Dichloroethene",156-60-5
AK6214522157,Tetrachloroethene,127-18-4
AK6214522157,Trichloroethene,79-01-6
AK6214522157,Total petroleum hydrocarbons,TBD-00000012
AK6214522157,White phosphorus,12185-10-3
AK6214522157,Mercury,7439-97-6
AK6214522157,Silver,7440-22-4
AK6214522157,Kerosene,8008-20-6
AK6214522157,Polychlorinated biphenyls,1336-36-3
AK6214522157,DDT,50-29-3
AK6214522157,Cyanide,57-12-5
AK6214522157,Aroclor-1260,11096-82-5
AK6214522157,Cobalt,7440-48-4
AK6214522157,Calcium,7440-70-2
AK6214522157,Magnesium,7439-95-4
AK6214522157,Potassium,07-09-40
AK6214522157,Vanadium (fume or dust),7440-62-2
AK6214522157,Benzo[a]anthracene,56-55-3
AK6214522157,Beryllium,7440-41-7
AK6214522157,Copper,7440-50-8
AK6214522157,Zinc,7440-66-6
AK6214522157,Cobalt-60,10198-40-0
AK6214522157,Sodium,7440-23-5
AK6214522157,"1,4-Dichlorobenzene",106-46-7
AK6214522157,"1,2-Dichlorobenzene",95-50-1
AK6214522157,"1,3,5-Trimethylbenzene",108-67-8
AK8570028649,Benzene,71-43-2
AK8570028649,Organics,TBD-00000009
AK8570028649,TPH,TBD-00000012
AK8570028649,Ethylbenzene,100-41-4
AK8570028649,Toluene,108-88-3
AK8570028649,Xylene (mixed isomers),1330-20-7
AK8570028649,Aluminum (fume or dust),7429-90-5
AK8570028649,Barium,7440-39-3
AK8570028649,Beryllium,7440-41-7
AK8570028649,Calcium,7440-70-2
AK8570028649,Iron,7439-89-6
AK8570028649,Lead,7439-92-1
AK8570028649,Magnesium,7439-95-4
AK8570028649,Manganese,7439-96-5
AK8570028649,Potassium,07-09-40
AK8570028649,Sodium,7440-23-5
AK8570028649,Zinc,7440-66-6
AK8570028649,Bis(2-ethylhexyl)phthalate,117-81-7
AK8570028649,Dimethyl phthalate,131-11-3
AK8570028649,Naphthalene,91-20-3
AK8570028649,Gasoline,8006-61-9
AK8570028649,"1,1,2,2-Tetrachloroethane",79-34-5
AK8570028649,"1,2-Dichlorobenzene",95-50-1
AK8570028649,"1,2-Dichloroethane",107-06-2
AK8570028649,Acetone,67-64-1
AK8570028649,Chlorobenzene,108-90-7
AK8570028649,Chloroethane,75-00-3
AK8570028649,Chloromethane,74-87-3
AK8570028649,m-Xylene,108-38-3
AK8570028649,Methylene chloride,75-09-2
AK8570028649,o-Xylene,95-47-6
AK8570028649,p-Xylene,106-42-3
AK8570028649,"trans-1,2-Dichloroethene",156-60-5
AK8570028649,Trichloroethene,79-01-6
AK8570028649,"cis-1,2-Dichloroethene",156-59-2
AK8570028649,3-Methylphenol,108-39-4
AK8570028649,4-Methylphenol,106-44-5
AK8570028649,Endosulfan II,33213-65-9
AK8570028649,Cobalt,7440-48-4
AK8570028649,Antimony,7440-36-0
AK8570028649,Arsenic,7440-38-2
AK8570028649,Cadmium,7440-43-9
AK8570028649,Chromium,7440-47-3
AK8570028649,Copper,7440-50-8
AK8570028649,Molybdenum,7439-98-7
AK8570028649,Nickel,7440-02-0
AK8570028649,Vanadium (fume or dust),7440-62-2
AK8570028649,2-Methylnaphthalene,90-12-0
AK8570028649,Acenaphthene,83-32-9
AK8570028649,Acenaphthylene,208-96-8
AK8570028649,Anthracene,120-12-7
AK8570028649,Fluoranthene,206-44-0
AK8570028649,Fluorene,86-73-7
AK8570028649,Pyrene,129-00-0
AK8570028649,"4,4-DDT",50-29-3
AK8570028649,Aldrin,309-00-2
AK8570028649,Dieldrin,60-57-1
AK8570028649,Heptachlor,76-44-8
AK8570028649,"4,4-DDD",72-54-8
AK8570028649,"4,4-DDE",72-55-9
AK8570028649,alpha-BHC,319-84-6
AK8570028649,Endrin aldehyde,7421-93-4
AK8570028649,gamma-BHC,58-89-9
AK8570028649,Heptachlor epoxide,1024-57-3
AK8570028649,2-Butanone,78-93-3
AK8570028649,Chloroform,67-66-3
AK8570028649,Vinyl chloride,75-01-4
AK8570028649,"2,4-Dimethylphenol",105-67-9
AK8570028649,2-Methylphenol,95-48-7
AK8570028649,Benzoic acid,65-85-0
AK8570028649,Phenol,108-95-2
AK8570028649,Endosulfan I,959-98-8
AK8570028649,Selenium,7782-49-2
AK8570028649,Benzo(b)fluoranthene,205-99-2
AK8570028649,Chrysene,218-01-9
AK8570028649,Diethyl phthalate,84-66-2
AK8570028649,Phenanthrene,85-01-8
AK8570028649,beta-BHC,319-85-7
AK8570028649,"1,1,1-Trichloroethane",71-55-6
AK8570028649,"1,1-Dichloroethane",75-34-3
AK8570028649,"1,2-Dichloropropane",78-87-5
AK8570028649,4-Methyl-2-pentanone,108-10-1
AK8570028649,"1,1,2-Trichloroethane",79-00-5
AK8570028649,"1,1-Dichloroethene",75-35-4
AK8570028649,2-Hexanone,591-78-6
AK8570028649,Tetrachloroethene,127-18-4
AK8570028649,Di-n-octyl phthalate,117-84-0
AK8570028649,Trichloroethylene,79-01-6
AK8570028649,"1,1-Dichloroethylene",75-35-4
AK8570028649,Carbon tetrachloride,56-23-5
AK8570028649,Tetrachloroethylene,127-18-4
AK8570028649,"cis-1,2-Dichloroethylene",156-59-2
AK8570028649,Aroclor-1260,11096-82-5
AK8570028649,"1,2-Dibromoethane",106-93-4
AK8570028649,Thallium,7440-28-0
AK8570028649,Benzo(k)fluoranthene,207-08-9
AK8570028649,Carbon disulfide,75-15-0
AK8570028649,Styrene,100-42-5
AK8570028649,VOC,TBD-00000010
AK8570028649,Mercury,7439-97-6
AK8570028649,Dibenzofuran,132-64-9
AK8570028649,Cyanide,57-12-5
AK8570028649,"Benzo(g,h,i)perylene",191-24-2
AK8570028649,Benzo[a]anthracene,56-55-3
AK8570028649,Benzo[a]pyrene,50-32-8
AK8570028649,Dibutyl phthalate,84-74-2
AK8570028649,"Dibenzo(a,h)Anthracene",53-70-3
AK8570028649,"Indeno(1,2,3-cd)pyrene",193-39-5
AK8570028649,PCB-1016,12674-11-2
AK8570028649,PCB-1260,11096-82-5
AK8570028649,Endrin,72-20-8
AK8570028649,Hydrocarbons,TBD-00000012
AK8570028649,"1,4-Dichlorobenzene",106-46-7
AK8570028649,Silver,7440-22-4
AK8570028649,Diesel fuel,68334-30-5
AK8570028649,Kerosene,8008-20-6
AK8570028649,Butyl benzyl phthalate,85-68-7
AK8570028649,"1,3-Dichlorobenzene",541-73-1
AK8570028649,"1,2,4-Trichlorobenzene",120-82-1
AK8570028649,delta-BHC,319-86-8
AKD004904215,Sulfuric acid,7664-93-9
AKD004904215,Lead,7439-92-1
AKD004904215,PCBs,1336-36-3
AKD980978787,Furan,110-00-9
AKD980978787,Asbestos,1332-21-4
AKD980978787,Cyanide,57-12-5
AKD980978787,Lead,7439-92-1
AKD980978787,PCBs,1336-36-3
AKD980978787,VOC,TBD-00000010
AKD980978787,"1,2,4-Trichlorobenzene",120-82-1
AKD980978787,"1,4-Dichlorobenzene",106-46-7
AKD980978787,"2,3,7,8-Tetrachlorodibenzo-p-dioxin",1746-01-6
AKD980978787,Aluminum (fume or dust),7429-90-5
AKD980978787,Calcium,7440-70-2
AKD980978787,Chromium,7440-47-3
AKD980978787,Copper,7440-50-8
AKD980978787,Iron,7439-89-6
AKD980978787,Magnesium,7439-95-4
AKD980978787,Manganese,7439-96-5
AKD980978787,Potassium,07-09-40
AKD980978787,Vanadium (fume or dust),7440-62-2
AKD980978787,2-Methylnaphthalene,90-12-0
AKD980978787,Bis(2-ethylhexyl)phthalate,117-81-7
AKD980978787,Aroclor-1260,11096-82-5
AKD980978787,"1,1,1-Trichloroethane",71-55-6
AKD980978787,"1,2-Dichlorobenzene",95-50-1
AKD980978787,Ethylbenzene,100-41-4
AKD980978787,Methylene chloride,75-09-2
AKD980978787,"1,1,2,2-Tetrachloroethane",79-34-5
AKD980978787,Toluene,108-88-3
AKD980978787,Trichlorofluoromethane,75-69-4
AKD980978787,Xylene (mixed isomers),1330-20-7
AKD980978787,Arsenic,7440-38-2
AKD980978787,Beryllium,7440-41-7
AKD980978787,Cadmium,7440-43-9
AKD980978787,Zinc,7440-66-6
AKD980988158,Dioxins/dibenzofurans,TBD-00000004
AKD980988158,Metals,TBD-00000006
AKD980988158,PAH,TBD-00000003
AKD980988158,PCBs,TBD-00000027
AKD980988158,Pesticides,TBD-00000011
AKD980988158,VOC,TBD-00000010
AKD980988158,Asbestos,1332-21-4
AKD980988158,Lead,7439-92-1
AKD980988158,Antimony,7440-36-0
AKD980988158,Arsenic,7440-38-2
AKD980988158,Beryllium,7440-41-7
AKD980988158,Cadmium,7440-43-9
AKD980988158,Manganese,7439-96-5
AKD980988158,Benzo(b)fluoranthene,205-99-2
AKD980988158,Benzo(k)fluoranthene,207-08-9
AKD980988158,Benzo[a]anthracene,56-55-3
AKD980988158,Benzo[a]pyrene,50-32-8
AKD980988158,Chrysene,218-01-9
AKD980988158,"Indeno(1,2,3-cd)pyrene",193-39-5
AKD980988158,Aroclor-1248,12672-29-6
AKD980988158,Aroclor-1254,11097-69-1
AKD980988158,Aroclor-1260,11096-82-5
AKD980988158,alpha-Chlordane,5103-71-9
AKD980988158,DDT,50-29-3
AKD980988158,gamma-Chlordane,5566-34-7
AKD980988158,DDD,72-54-8
AKD980988158,DDE,72-55-9
AL3210020027,Phenol,108-95-2
AL3210020027,Chromium compounds,TBD-00000005
AL3210020027,Chromium (hexavalent),18540-29-9
AL3210020027,"1,1,1-Trichloroethane",71-55-6
AL3210020027,"1,1-Dichloroethane",75-34-3
AL3210020027,"1,1-Dichloroethylene",75-35-4
AL3210020027,"1,2-trans-Dichloroethylene",156-60-5
AL3210020027,Carbon tetrachloride,56-23-5
AL3210020027,Chloroform,67-66-3
AL3210020027,Dichloromethane,75-09-2
AL3210020027,Methylene chloride,75-09-2
AL3210020027,Perchloroethylene,127-18-4
AL3210020027,Trichloroethylene,79-01-6
AL3210020027,"cis-1,2-Dichloroethylene",156-59-2
AL3210020027,Aluminum,7429-90-5
AL3210020027,Antimony,7440-36-0
AL3210020027,Arsenic,7440-38-2
AL3210020027,Chromium,7440-47-3
AL3210020027,Iron,7439-89-6
AL3210020027,Lead,7439-92-1
AL3210020027,Manganese,7439-96-5
AL3210020027,Thallium,7440-28-0
AL3210020027,Vanadium (fume or dust),7440-62-2
AL3210020027,RDX,121-82-4
AL3210020027,TNT,118-96-7
AL3210020027,BEHP,117-81-7
AL3210020027,Nickel,7440-02-0
AL3210020027,Vinylidene chloride,75-35-4
AL3210020027,"1,4-Dichlorobenzene",106-46-7
AL3210020027,N-Nitrosodi-n-propylamine,621-64-7
AL3210020027,TCE,79-01-6
AL3210020027,Cadmium,7440-43-9
AL3210020027,Zinc,7440-66-6
AL6210020008,Asbestos,1332-21-4
AL6210020008,Lead,7439-92-1
AL6210020008,Organics,TBD-00000009
AL6210020008,Trinitrotoluene,118-96-7
AL6210020008,Aluminum (fume or dust),7429-90-5
AL6210020008,Arsenic,7440-38-2
AL6210020008,Barium,7440-39-3
AL6210020008,Beryllium,7440-41-7
AL6210020008,Cadmium,7440-43-9
AL6210020008,Chromium,7440-47-3
AL6210020008,Copper,7440-50-8
AL6210020008,Iron,7439-89-6
AL6210020008,Manganese,7439-96-5
AL6210020008,Mercury,7439-97-6
AL6210020008,Nickel,7440-02-0
AL6210020008,Vanadium (fume or dust),7440-62-2
AL6210020008,"2,4-Dinitrotoluene",121-14-2
AL6210020008,"2,6-Dinitrotoluene",606-20-2
AL6210020008,Bis(2-ethylhexyl)phthalate,117-81-7
AL6210020008,Cobalt-60,10198-40-0
AL6210020008,Acetone,67-64-1
AL6210020008,Methyl isobutyl ketone,108-10-1
AL6210020008,Methylene chloride,75-09-2
AL6210020008,Trichloroethene,79-01-6
AL6210020008,Total dissolved solids,TBD-00000015
AL6210020008,Selenium,7782-49-2
AL6210020008,Silver,7440-22-4
AL6210020008,"1,3,5-Trinitrobenzene",99-35-4
AL6210020008,"2,4-DNT",121-14-2
AL6210020008,Thallium,7440-28-0
AL6210020008,Dibutyl phthalate,84-74-2
AL6210020008,Diethyl phthalate,84-66-2
AL6210020008,Bromomethane,74-83-9
AL6210020008,"1,1,2,2-Tetrachloroethane",79-34-5
AL6210020008,Trichlorofluoromethane,75-69-4
AL6210020008,N-Nitrosodiphenylamine,86-30-6
AL6210020008,Nitrobenzene,98-95-3
AL6210020008,m-Dinitrobenzene,99-65-0
AL6210020008,"2,6-DNT",606-20-2
AL6210020008,Tetryl,479-45-8
AL6210020008,Anthracene,120-12-7
AL6210020008,Benzo[a]anthracene,56-55-3
AL6210020008,Chrysene,218-01-9
AL6210020008,Fluoranthene,206-44-0
AL6210020008,Benzoic acid,65-85-0
AL6210020008,Cobalt,7440-48-4
AL6210020008,Aluminum,7429-90-5
AL6210020008,Antimony,7440-36-0
AL6210020008,Chromium (hexavalent),18540-29-9
AL6210020008,Molybdenum,7439-98-7
AL6210020008,Zinc,7440-66-6
AL6210020008,"2,4,6-Trinitrotoluene",118-96-7
AL6210020008,Benzo(b)fluoranthene,205-99-2
AL6210020008,"Benzo(g,h,i)perylene",191-24-2
AL6210020008,Benzo(k)fluoranthene,207-08-9
AL6210020008,Benzo[a]pyrene,50-32-8
AL6210020008,"Dibenzo(a,h)Anthracene",53-70-3
AL6210020008,"Indeno(1,2,3-cd)pyrene",193-39-5
AL6210020008,Aroclor-1248,12672-29-6
AL6210020008,Aroclor-1254,11097-69-1
AL6210020008,Aroclor-1260,11096-82-5
AL6210020008,N-Nitrosodimethylamine,62-75-9
AL6210020008,Dinitrobenzene,25154-54-5
AL6210020008,Dibenzofuran,132-64-9
AL6210020008,Trinitrobenzene,99-35-4
AL6210020008,Acenaphthene,83-32-9
AL6210020008,Acenaphthylene,208-96-8
AL6210020008,Fluorene,86-73-7
AL6210020008,Naphthalene,91-20-3
AL6210020008,Phenanthrene,85-01-8
AL6210020008,Pyrene,129-00-0
AL6210020008,Carbazole,86-74-8
AL6210020008,Nitrosodimethylamine,62-75-9
AL6210020008,MBK,591-78-6
AL7210020742,Arsenic,7440-38-2
AL7210020742,Mercury,7439-97-6
AL7210020742,Carbon tetrachloride,56-23-5
AL7210020742,Chloroform,67-66-3
AL7210020742,TCE,79-01-6
AL7210020742,Perchlorate,14797-73-0
AL7210020742,Trichloroethene,79-01-6
AL7210020742,4-Nitroaniline,100-01-6
AL7210020742,Bis(2-chloroethyl) ether,111-44-4
AL7210020742,Bis(2-chloroisopropyl) ether,39638-32-9
AL7210020742,Hexachlorobutadiene,87-68-3
AL7210020742,N-Nitrosodiphenylamine,86-30-6
AL7210020742,Nitrobenzene,98-95-3
AL7210020742,Dibenzofuran,132-64-9
AL7210020742,Barium,7440-39-3
AL7210020742,Cadmium,7440-43-9
AL7210020742,Chromium,7440-47-3
AL7210020742,Iron,7439-89-6
AL7210020742,Lead,7439-92-1
AL7210020742,"1,3-Dinitrobenzene",99-65-0
AL7210020742,Nitroglycerin,55-63-0
AL7210020742,RDX,121-82-4
AL7210020742,2-Methylnaphthalene,90-12-0
AL7210020742,Anthracene,120-12-7
AL7210020742,Benzo(b)fluoranthene,205-99-2
AL7210020742,Benzo(k)fluoranthene,207-08-9
AL7210020742,Benzo[a]anthracene,56-55-3
AL7210020742,Benzo[a]pyrene,50-32-8
AL7210020742,Bis(2-ethylhexyl)phthalate,117-81-7
AL7210020742,Chrysene,218-01-9
AL7210020742,Fluorene,86-73-7
AL7210020742,"Indeno(1,2,3-cd)pyrene",193-39-5
AL7210020742,Naphthalene,91-20-3
AL7210020742,Pyrene,129-00-0
AL7210020742,Aroclor-1242,53469-21-9
AL7210020742,Aroclor-1248,12672-29-6
AL7210020742,Aroclor-1254,11097-69-1
AL7210020742,Aroclor-1260,11096-82-5
AL7210020742,"4,4-DDT",50-29-3
AL7210020742,Aldrin,309-00-2
AL7210020742,Chlordane,57-74-9
AL7210020742,Dieldrin,60-57-1
AL7210020742,Heptachlor,76-44-8
AL7210020742,"4,4-DDD",72-54-8
AL7210020742,"4,4-DDE",72-55-9
AL7210020742,alpha-BHC,319-84-6
AL7210020742,beta-BHC,319-85-7
AL7210020742,Carbazole,86-74-8
AL7210020742,gamma-BHC,58-89-9
AL7210020742,"1,1,1-Trichloroethane",71-55-6
AL7210020742,"1,1,2,2-Tetrachloroethane",79-34-5
AL7210020742,"1,1,2-Trichloroethane",79-00-5
AL7210020742,"1,1-Dichloroethane",75-34-3
AL7210020742,"1,1-Dichloroethene",75-35-4
AL7210020742,"1,2-Dichloroethane",107-06-2
AL7210020742,"1,2-Dichloroethene",540-59-0
AL7210020742,"1,2-Dichloropropane",78-87-5
AL7210020742,2-Butanone,78-93-3
AL7210020742,Acetone,67-64-1
AL7210020742,Benzene,71-43-2
AL7210020742,Bromodichloromethane,75-27-4
AL7210020742,Bromomethane,74-83-9
AL7210020742,Chlorobenzene,108-90-7
AL7210020742,Chloroethane,75-00-3
AL7210020742,Chloromethane,74-87-3
AL7210020742,Dibromochloromethane,124-48-1
AL7210020742,Ethylbenzene,100-41-4
AL7210020742,Hexachloroethane,67-72-1
AL7210020742,Methylene chloride,75-09-2
AL7210020742,Tetrachloroethene,127-18-4
AL7210020742,Tetrachloroethylene,127-18-4
AL7210020742,Toluene,108-88-3
AL7210020742,Trichloroethylene,79-01-6
